cve_id,published_date,description,cvss_base_score,vendor,product_name,version_start,version_end,version_note,cisa_kev,first_epss,reference_url,source_snapshot_date
CVE-2025-5380,2025-02-02,Pre-authentication buffer overflow in Core Banking Framework network listener leads to remote code execution,9.8,FinTech Systems,Core Banking Framework,4.0.0,4.2.5,,False,0.02704,https://nvd.nist.gov/vuln/detail/CVE-2025-5380,2025-01-15
CVE-2025-7833,2025-03-03,SQL injection flaw in Core Banking Framework backend parser allows unauthorized read and write access to sensitive database tables,8.1,FinTech Systems,Core Banking Framework,4.1.0,4.3.0,,False,0.04122,https://nvd.nist.gov/vuln/detail/CVE-2025-7833,2025-01-15
CVE-2025-2291,2025-04-04,Authentication bypass in Identity Provider SaaS session handling allows unauthenticated attacker to bypass administrative controls,8.4,AuthCorp,Identity Provider SaaS,1.0.0,2.4.5,,False,0.04667,https://nvd.nist.gov/vuln/detail/CVE-2025-2291,2025-01-15
CVE-2026-1698,2026-05-05,Improper certificate validation in Identity Provider SaaS TLS transport handler allows man-in-the-middle data interception,4.3,AuthCorp,Identity Provider SaaS,1.5.0,2.3.0,,True,0.556,https://nvd.nist.gov/vuln/detail/CVE-2026-1698,2025-01-15
CVE-2026-2678,2026-06-06,Pre-authentication buffer overflow in Cloud Database Engine network listener leads to remote code execution,9.9,CloudData,Cloud Database Engine,5.2.0,5.5.0,,False,0.01935,https://nvd.nist.gov/vuln/detail/CVE-2026-2678,2025-01-15
CVE-2026-1133,2026-07-07,Remote code execution in Enterprise Router OS allows unauthenticated remote attacker to execute arbitrary commands with full system privileges,9.0,NetRoute,Enterprise Router OS,,,Manual inspection required for BGP routing daemon sub-module,False,0.01403,https://nvd.nist.gov/vuln/detail/CVE-2026-1133,2025-01-15
CVE-2026-9322,2026-08-08,Privilege escalation in Embedded IoT Gateway daemon allows low-privilege attacker to obtain elevated system administrator permissions,8.9,IoT Systems,Embedded IoT Gateway,1.8.0,1.9.0,,False,0.02799,https://nvd.nist.gov/vuln/detail/CVE-2026-9322,2025-01-15
CVE-2026-3731,2026-09-09,SQL injection flaw in Core Banking Framework backend parser allows unauthorized read and write access to sensitive database tables,8.5,FinTech Systems,Core Banking Framework,4.0.0,4.2.5,,False,0.01065,https://nvd.nist.gov/vuln/detail/CVE-2026-3731,2025-01-15
CVE-2025-1860,2025-10-10,Denial of service vulnerability in Identity Provider SaaS connection pool causes resource exhaustion and service freeze,5.6,AuthCorp,Identity Provider SaaS,1.0.0,2.4.5,,False,0.03797,https://nvd.nist.gov/vuln/detail/CVE-2025-1860,2025-01-15
CVE-2023-1995,2023-11-11,Information disclosure in Embedded IoT Gateway API endpoint leaks sensitive cryptographic keys and internal session tokens,5.6,IoT Systems,Embedded IoT Gateway,0.8.0,1.6.0,,True,0.63875,https://nvd.nist.gov/vuln/detail/CVE-2023-1995,2025-01-15
CVE-2022-8400,2022-12-12,Request smuggling and cache poisoning in Identity Provider SaaS HTTP request pipeline allows session hijacking,7.1,AuthCorp,Identity Provider SaaS,2.6.0,3.0.0,,False,0.02827,https://nvd.nist.gov/vuln/detail/CVE-2022-8400,2025-01-15
CVE-2023-9945,2023-01-13,Denial of service vulnerability in Identity Provider SaaS connection pool causes resource exhaustion and service freeze,6.4,AuthCorp,Identity Provider SaaS,,,Vendor advisory requires manual verification for custom IdP integrations,False,0.81349,https://nvd.nist.gov/vuln/detail/CVE-2023-9945,2025-01-15
CVE-2024-5636,2024-02-14,Information disclosure in Identity Provider SaaS API endpoint leaks sensitive cryptographic keys and internal session tokens,5.3,AuthCorp,Identity Provider SaaS,2.0.0,2.6.0,,False,0.5384,https://nvd.nist.gov/vuln/detail/CVE-2024-5636,2025-01-15
CVE-2024-7287,2024-03-15,Request smuggling and cache poisoning in Cloud Database Engine HTTP request pipeline allows session hijacking,6.4,CloudData,Cloud Database Engine,5.1.0,5.1.5,,False,0.01774,https://nvd.nist.gov/vuln/detail/CVE-2024-7287,2025-01-15
CVE-2025-6625,2025-04-16,Authentication bypass in Enterprise Router OS session handling allows unauthenticated attacker to bypass administrative controls,8.7,NetRoute,Enterprise Router OS,10.0,11.9,,False,0.04319,https://nvd.nist.gov/vuln/detail/CVE-2025-6625,2025-01-15
CVE-2024-5496,2024-05-17,Improper certificate validation in Core Banking Framework TLS transport handler allows man-in-the-middle data interception,4.9,FinTech Systems,Core Banking Framework,4.1.0,4.3.0,,False,0.01328,https://nvd.nist.gov/vuln/detail/CVE-2024-5496,2025-01-15
CVE-2025-3693,2025-06-18,SQL injection flaw in Cloud Database Engine backend parser allows unauthorized read and write access to sensitive database tables,7.7,CloudData,Cloud Database Engine,5.2.0,5.5.0,,False,0.02919,https://nvd.nist.gov/vuln/detail/CVE-2025-3693,2025-01-15
CVE-2023-1262,2023-07-19,Denial of service vulnerability in Enterprise Router OS connection pool causes resource exhaustion and service freeze,6.8,NetRoute,Enterprise Router OS,,,Manual inspection required for BGP routing daemon sub-module,False,0.03503,https://nvd.nist.gov/vuln/detail/CVE-2023-1262,2025-01-15
CVE-2025-2693,2025-08-20,Pre-authentication buffer overflow in Enterprise Router OS network listener leads to remote code execution,9.4,NetRoute,Enterprise Router OS,12.0,12.5,,False,0.00903,https://nvd.nist.gov/vuln/detail/CVE-2025-2693,2025-01-15
CVE-2025-5199,2025-09-21,Improper certificate validation in Identity Provider SaaS TLS transport handler allows man-in-the-middle data interception,4.2,AuthCorp,Identity Provider SaaS,2.4.0,2.5.5,,False,0.00926,https://nvd.nist.gov/vuln/detail/CVE-2025-5199,2025-01-15
CVE-2025-1860,2025-10-22,Denial of service vulnerability in Core Banking Framework connection pool causes resource exhaustion and service freeze,6.8,FinTech Systems,Core Banking Framework,,,Affects builds prior to patch 4.2.2 unless Q4 security hotfix applied,False,0.02542,https://nvd.nist.gov/vuln/detail/CVE-2025-1860,2025-01-15
CVE-2022-2306,2022-11-23,Privilege escalation in Cloud Database Engine daemon allows low-privilege attacker to obtain elevated system administrator permissions,8.8,CloudData,Cloud Database Engine,3.0.0,4.9.0,,False,0.89403,https://nvd.nist.gov/vuln/detail/CVE-2022-2306,2025-01-15
